Parameter,Category,Source_Type,Patient_Profile,Protocol,Max_Sensitivity,Efficacy_Sensitivity
alpha_A,Biological - Angiogenesis,Literature,elderly,continuous,0.22020948791904343,0.21880479221682264
alpha_A,Biological - Angiogenesis,Literature,elderly,adaptive,0.2021557575805738,0.20131027899857826
alpha_A,Biological - Angiogenesis,Literature,elderly,immuno_combo,0.05094045368747385,0.05072879861953812
alpha_A,Biological - Angiogenesis,Literature,elderly,hyperthermia,0.09222525504788712,0.0916955723762814
alpha_A,Biological - Angiogenesis,Literature,compromised,standard,0.07711316512730373,0.07664597349572036
alpha_A,Biological - Angiogenesis,Literature,compromised,continuous,0.09891977438239645,0.09830438856411815
alpha_A,Biological - Angiogenesis,Literature,compromised,adaptive,0.27858941689338396,0.277427244990918
alpha_A,Biological - Angiogenesis,Literature,compromised,immuno_combo,0.08604774943420296,0.08564689198951768
alpha_A,Biological - Angiogenesis,Literature,compromised,hyperthermia,0.07374912281688982,0.07332463694549433
delta_A,Biological - Angiogenesis,Literature,average,standard,0.02825618130322834,0.02807494248836961
delta_A,Biological - Angiogenesis,Literature,average,continuous,0.16552359328469402,0.16452212629719265
delta_A,Biological - Angiogenesis,Literature,average,adaptive,0.17888892379630134,0.17812169388445778
delta_A,Biological - Angiogenesis,Literature,average,immuno_combo,0.09632562922899321,0.09592534462346908
delta_A,Biological - Angiogenesis,Literature,average,hyperthermia,0.060091170601156235,0.059704693505815615
delta_A,Biological - Angiogenesis,Literature,young,standard,0.030993636389247233,0.030847243497336693
delta_A,Biological - Angiogenesis,Literature,young,continuous,0.13064664954374286,0.12985245116233055
delta_A,Biological - Angiogenesis,Literature,young,adaptive,0.22686690809405893,0.2259239190993927
delta_A,Biological - Angiogenesis,Literature,young,immuno_combo,0.03882620707665893,0.038658883525460305
delta_A,Biological - Angiogenesis,Literature,young,hyperthermia,0.07900032520897292,0.07857493871678191
delta_A,Biological - Angiogenesis,Literature,elderly,standard,0.08477484340173139,0.08428135170866755
delta_A,Biological - Angiogenesis,Literature,elderly,continuous,0.13507590853035747,0.1342467197192944
delta_A,Biological - Angiogenesis,Literature,elderly,adaptive,0.40343701909097884,0.4018089812409409
delta_A,Biological - Angiogenesis,Literature,elderly,immuno_combo,0.047623234161550135,0.04742428474081153
delta_A,Biological - Angiogenesis,Literature,elderly,hyperthermia,0.08525631813316982,0.08477932785713899
delta_A,Biological - Angiogenesis,Literature,compromised,standard,0.1104906051228483,0.10982122665473343
delta_A,Biological - Angiogenesis,Literature,compromised,continuous,0.11563655736824076,0.11495201511773902
delta_A,Biological - Angiogenesis,Literature,compromised,adaptive,0.13698434944754018,0.1364005577997552
delta_A,Biological - Angiogenesis,Literature,compromised,immuno_combo,0.0917254671413902,0.09130863525601664
delta_A,Biological - Angiogenesis,Literature,compromised,hyperthermia,0.13119413911453703,0.13041702676259223
kappa_Q,Biological - Quiescence,Literature,average,standard,0.08502783027529048,0.08453908093264242
kappa_Q,Biological - Quiescence,Literature,average,continuous,0.10600254839211279,0.10537988966375764
kappa_Q,Biological - Quiescence,Literature,average,adaptive,0.179818131705392,0.1790925609917516
kappa_Q,Biological - Quiescence,Literature,average,immuno_combo,0.111827789510172,0.11135994561895107
kappa_Q,Biological - Quiescence,Literature,average,hyperthermia,0.03777750329320878,0.03755960335896889
kappa_Q,Biological - Quiescence,Literature,young,standard,0.15000259660706772,0.1491381659036004
kappa_Q,Biological - Quiescence,Literature,young,continuous,0.11290930579481218,0.11224515131601118
kappa_Q,Biological - Quiescence,Literature,young,adaptive,0.11893392963673724,0.1184399510820384
kappa_Q,Biological - Quiescence,Literature,young,immuno_combo,0.11331110472222503,0.11283776883180716
kappa_Q,Biological - Quiescence,Literature,young,hyperthermia,0.15537257480953748,0.15439139363509463
kappa_Q,Biological - Quiescence,Literature,elderly,standard,0.04922668727716581,0.048913064853296065
kappa_Q,Biological - Quiescence,Literature,elderly,continuous,0.23344724525426402,0.23196914765596965
kappa_Q,Biological - Quiescence,Literature,elderly,adaptive,0.2370378419243474,0.2360599164252834
kappa_Q,Biological - Quiescence,Literature,elderly,immuno_combo,0.2447619972382408,0.24372590896729354
kappa_Q,Biological - Quiescence,Literature,elderly,hyperthermia,0.07330101210539168,0.07291425654166486
kappa_Q,Biological - Quiescence,Literature,compromised,standard,0.17153951923129193,0.17054296877530428
kappa_Q,Biological - Quiescence,Literature,compromised,continuous,0.12833617324417024,0.12756204370115357
kappa_Q,Biological - Quiescence,Literature,compromised,adaptive,0.2505694243696747,0.24950702957772222
kappa_Q,Biological - Quiescence,Literature,compromised,immuno_combo,0.0763960001914445,0.07602810131807534
kappa_Q,Biological - Quiescence,Literature,compromised,hyperthermia,0.06985472783043613,0.06945589856062238
lambda_Q,Biological - Quiescence,Literature,average,standard,0.057499837116121534,0.05710046646722766
lambda_Q,Biological - Quiescence,Literature,average,continuous,0.2368628387837084,0.23548106775205288
lambda_Q,Biological - Quiescence,Literature,average,adaptive,0.2116258266602612,0.2107471077638032
lambda_Q,Biological - Quiescence,Literature,average,immuno_combo,0.15761450102974905,0.1569655362420404
lambda_Q,Biological - Quiescence,Literature,average,hyperthermia,0.060589641040858525,0.06022891335399862
lambda_Q,Biological - Quiescence,Literature,young,standard,0.045108029378576206,0.044962616521415436
lambda_Q,Biological - Quiescence,Literature,young,continuous,0.19125062263989756,0.1901153519294988
lambda_Q,Biological - Quiescence,Literature,young,adaptive,0.16936806751441538,0.16865625508771823
lambda_Q,Biological - Quiescence,Literature,young,immuno_combo,0.10415946246142466,0.10371871357308364
lambda_Q,Biological - Quiescence,Literature,young,hyperthermia,0.049088809469670425,0.048801892622926835
lambda_Q,Biological - Quiescence,Literature,elderly,standard,0.08492972811224384,0.08440951016432285
lambda_Q,Biological - Quiescence,Literature,elderly,continuous,0.17525566345049448,0.17419525932043806
lambda_Q,Biological - Quiescence,Literature,elderly,adaptive,0.18029943148436212,0.17953790112077322
lambda_Q,Biological - Quiescence,Literature,elderly,immuno_combo,0.15658853762548486,0.15592238890777807
lambda_Q,Biological - Quiescence,Literature,elderly,hyperthermia,0.13429935708286644,0.13350775908410084
lambda_Q,Biological - Quiescence,Literature,compromised,standard,0.11221634685000786,0.1115315720540139
lambda_Q,Biological - Quiescence,Literature,compromised,continuous,0.08724731233253535,0.08672135574783534
lambda_Q,Biological - Quiescence,Literature,compromised,adaptive,0.28886960968482644,0.2876429311561944
lambda_Q,Biological - Quiescence,Literature,compromised,immuno_combo,0.06902942176525165,0.06871888332062676
lambda_Q,Biological - Quiescence,Literature,compromised,hyperthermia,0.12602446835286163,0.12523708988838153
omega_R1,Biological - Resistance,Experimental,average,standard,0.0666607026817337,0.06654919777904429
omega_R1,Biological - Resistance,Experimental,average,continuous,0.22335262830537245,0.2220119561850047
omega_R1,Biological - Resistance,Experimental,average,adaptive,0.08815737327680132,0.08778455714946212
omega_R1,Biological - Resistance,Experimental,average,immuno_combo,0.0748838212502747,0.07456986325781204
omega_R1,Biological - Resistance,Experimental,average,hyperthermia,0.03255375801829478,0.03225382612350636
omega_R1,Biological - Resistance,Experimental,young,standard,0.1323981835861531,0.13178896985590138
omega_R1,Biological - Resistance,Experimental,young,continuous,0.16520565913054922,0.1640241541444596
omega_R1,Biological - Resistance,Experimental,young,adaptive,0.2014835333253942,0.20065040348511792
omega_R1,Biological - Resistance,Experimental,young,immuno_combo,0.10539161839476284,0.10494547984231231
omega_R1,Biological - Resistance,Experimental,young,hyperthermia,0.09949376236325108,0.0991153421535459
omega_R1,Biological - Resistance,Experimental,elderly,standard,0.10181818695396484,0.10124775920074287
omega_R1,Biological - Resistance,Experimental,elderly,continuous,0.21012687804943878,0.20884356228915227
omega_R1,Biological - Resistance,Experimental,elderly,adaptive,0.48648837927430516,0.4843947039492641
omega_R1,Biological - Resistance,Experimental,elderly,immuno_combo,0.035092733650849486,0.03494702952161183
omega_R1,Biological - Resistance,Experimental,elderly,hyperthermia,0.14995716527239245,0.1491259062127819
omega_R1,Biological - Resistance,Experimental,compromised,standard,0.08415180382080452,0.08381605046664203
omega_R1,Biological - Resistance,Experimental,compromised,continuous,0.23960349270328793,0.23812043553842815
omega_R1,Biological - Resistance,Experimental,compromised,adaptive,0.039112855511566395,0.03894291029560244
omega_R1,Biological - Resistance,Experimental,compromised,immuno_combo,0.08606363504092318,0.08566085542503768
omega_R1,Biological - Resistance,Experimental,compromised,hyperthermia,0.11621346535706137,0.11559520796921859
omega_R2,Biological - Resistance,Experimental,average,standard,0.05777342216382456,0.0575365081284587
omega_R2,Biological - Resistance,Experimental,average,continuous,0.19505986864551267,0.19386167844837165
omega_R2,Biological - Resistance,Experimental,average,adaptive,0.31623730156095226,0.31488507635419116
omega_R2,Biological - Resistance,Experimental,average,immuno_combo,0.06632335085929848,0.06604077892299752
omega_R2,Biological - Resistance,Experimental,average,hyperthermia,0.06973940034177374,0.06937959276183939
omega_R2,Biological - Resistance,Experimental,young,standard,0.10652363076733543,0.10590176632669192
omega_R2,Biological - Resistance,Experimental,young,continuous,0.14747754370820446,0.1466088774772508
omega_R2,Biological - Resistance,Experimental,young,adaptive,0.09095501567700046,0.09058466196874121
omega_R2,Biological - Resistance,Experimental,young,immuno_combo,0.10814875186244768,0.10769928840310906
omega_R2,Biological - Resistance,Experimental,young,hyperthermia,0.13681290075834665,0.13605845675444153
omega_R2,Biological - Resistance,Experimental,elderly,standard,0.10324928405598557,0.10265742893167458
omega_R2,Biological - Resistance,Experimental,elderly,continuous,0.12823966427988534,0.1275971752478485
omega_R2,Biological - Resistance,Experimental,elderly,adaptive,0.1581342169874137,0.1574575386243069
omega_R2,Biological - Resistance,Experimental,elderly,immuno_combo,0.156351687306057,0.15568600465608004
omega_R2,Biological - Resistance,Experimental,elderly,hyperthermia,0.06567894173510669,0.06522868365499647
omega_R2,Biological - Resistance,Experimental,compromised,standard,0.053290706744927044,0.05283998167562415
omega_R2,Biological - Resistance,Experimental,compromised,continuous,0.054286107210903115,0.05368032237554117
omega_R2,Biological - Resistance,Experimental,compromised,adaptive,0.2649531911544519,0.263832280963463
omega_R2,Biological - Resistance,Experimental,compromised,immuno_combo,0.04270538878878985,0.04250448346977581
omega_R2,Biological - Resistance,Experimental,compromised,hyperthermia,0.07714937685115694,0.07654980052538343
resistance_floor,Biological - Resistance,Hypothetical,average,standard,0.16404501471692076,0.16303181837812245
resistance_floor,Biological - Resistance,Hypothetical,average,continuous,0.16308395000356288,0.16210454476206126
resistance_floor,Biological - Resistance,Hypothetical,average,adaptive,0.10998420060710161,0.10952659792114149
resistance_floor,Biological - Resistance,Hypothetical,average,immuno_combo,0.2894770619688575,0.2882552188806417
resistance_floor,Biological - Resistance,Hypothetical,average,hyperthermia,0.04982112885714561,0.04953972242633399
resistance_floor,Biological - Resistance,Hypothetical,young,standard,0.1093342768682838,0.1087216818513289
resistance_floor,Biological - Resistance,Hypothetical,young,continuous,0.08270010577580171,0.08221827629591852
resistance_floor,Biological - Resistance,Hypothetical,young,adaptive,0.16990403596864256,0.1691923916132693
resistance_floor,Biological - Resistance,Hypothetical,young,immuno_combo,0.14684850287262047,0.1462329136380545
resistance_floor,Biological - Resistance,Hypothetical,young,hyperthermia,0.0543133106317016,0.054018074239426395
resistance_floor,Biological - Resistance,Hypothetical,elderly,standard,0.06840542540013236,0.06798978641187411
resistance_floor,Biological - Resistance,Hypothetical,elderly,continuous,0.07968692653535707,0.07918469148121872
resistance_floor,Biological - Resistance,Hypothetical,elderly,adaptive,0.1925648460408493,0.19175968905406307
resistance_floor,Biological - Resistance,Hypothetical,elderly,immuno_combo,0.06328216002006352,0.06301588845762202
resistance_floor,Biological - Resistance,Hypothetical,elderly,hyperthermia,0.06868168347306591,0.0683022228251279
resistance_floor,Biological - Resistance,Hypothetical,compromised,standard,0.08752399742440074,0.08695867601488236
resistance_floor,Biological - Resistance,Hypothetical,compromised,continuous,0.11129617359474023,0.11060895837862889
resistance_floor,Biological - Resistance,Hypothetical,compromised,adaptive,0.22655947765945464,0.2256149841132203
resistance_floor,Biological - Resistance,Hypothetical,compromised,immuno_combo,0.01890771843775429,0.018820068288266857
resistance_floor,Biological - Resistance,Hypothetical,compromised,hyperthermia,0.13630452351749034,0.13541244495839053
kappa_S,Biological - Senescence,Literature,average,standard,0.19307538452900116,0.1919586957561376
kappa_S,Biological - Senescence,Literature,average,continuous,0.14983571996135736,0.14891238711097346
kappa_S,Biological - Senescence,Literature,average,adaptive,0.15152191316519176,0.15086808433225185
kappa_S,Biological - Senescence,Literature,average,immuno_combo,0.06745531209817363,0.06717636562711532
kappa_S,Biological - Senescence,Literature,average,hyperthermia,0.10147986607791414,0.1009770848292236
kappa_S,Biological - Senescence,Literature,young,standard,0.07361550082186137,0.07318792702600815
kappa_S,Biological - Senescence,Literature,young,continuous,0.17700668493523772,0.17591143124714348
kappa_S,Biological - Senescence,Literature,young,adaptive,0.0941728422046084,0.0937695602704399
kappa_S,Biological - Senescence,Literature,young,immuno_combo,0.10349385545293152,0.1030609462977274
kappa_S,Biological - Senescence,Literature,young,hyperthermia,0.10637036407521229,0.10569643947834417
kappa_S,Biological - Senescence,Literature,elderly,standard,0.08842977891668392,0.0879037746346965
kappa_S,Biological - Senescence,Literature,elderly,continuous,0.08655190076279143,0.08604544175836157
kappa_S,Biological - Senescence,Literature,elderly,adaptive,0.1255676483084383,0.12501643824571826
kappa_S,Biological - Senescence,Literature,elderly,immuno_combo,0.10416090067344377,0.10373339665617104
kappa_S,Biological - Senescence,Literature,elderly,hyperthermia,0.1133188828168435,0.11264517070165925
kappa_S,Biological - Senescence,Literature,compromised,standard,0.09311236904593265,0.09255252779197541
kappa_S,Biological - Senescence,Literature,compromised,continuous,0.14783032451545824,0.146881580909566
kappa_S,Biological - Senescence,Literature,compromised,adaptive,0.13543706328230648,0.13487305641825853
kappa_S,Biological - Senescence,Literature,compromised,immuno_combo,0.07783692516814222,0.0774675325460571
kappa_S,Biological - Senescence,Literature,compromised,hyperthermia,0.09627626641333939,0.09570558410466201
delta_S,Biological - Senescence,Literature,average,standard,0.11187749562737417,0.11126187878901835
delta_S,Biological - Senescence,Literature,average,continuous,0.1779226342198988,0.1768268502905499
delta_S,Biological - Senescence,Literature,average,adaptive,0.26648888848028396,0.26541902635301323
delta_S,Biological - Senescence,Literature,average,immuno_combo,0.05469144327514894,0.05445802612141719
delta_S,Biological - Senescence,Literature,average,hyperthermia,0.034029317967201135,0.03382296081249968
delta_S,Biological - Senescence,Literature,young,standard,0.2061966536843688,0.20505005871748763
delta_S,Biological - Senescence,Literature,young,continuous,0.45370975443955797,0.4510698849226936
delta_S,Biological - Senescence,Literature,young,adaptive,0.25641130131859985,0.2553254639449614
delta_S,Biological - Senescence,Literature,young,immuno_combo,0.0453730792009064,0.04518373668863311
delta_S,Biological - Senescence,Literature,young,hyperthermia,0.09836811022866779,0.09783795000602089
delta_S,Biological - Senescence,Literature,elderly,standard,0.06038379807661627,0.06001283945287428
delta_S,Biological - Senescence,Literature,elderly,continuous,0.26125466042161694,0.2596341940348238
delta_S,Biological - Senescence,Literature,elderly,adaptive,0.26618228269071476,0.2650433097746556
delta_S,Biological - Senescence,Literature,elderly,immuno_combo,0.09775631390386258,0.09735547139455711
delta_S,Biological - Senescence,Literature,elderly,hyperthermia,0.0477252014937348,0.04745223221925468
delta_S,Biological - Senescence,Literature,compromised,standard,0.07250375899195362,0.07206848604872446
delta_S,Biological - Senescence,Literature,compromised,continuous,0.17875066721580932,0.17768033555320714
delta_S,Biological - Senescence,Literature,compromised,adaptive,0.15899674440727413,0.1583413351822656
delta_S,Biological - Senescence,Literature,compromised,immuno_combo,0.0603827528841278,0.06010557451718397
delta_S,Biological - Senescence,Literature,compromised,hyperthermia,0.08018401607719203,0.07970880954320848
etaE,Treatment - Efficacy,Clinical,average,standard,0.11392595836678984,0.11310454665672623
etaE,Treatment - Efficacy,Clinical,average,continuous,0.15093194024414086,0.15000332169538852
etaE,Treatment - Efficacy,Clinical,average,adaptive,0.21499683923175936,0.21412255574721462
etaE,Treatment - Efficacy,Clinical,average,immuno_combo,0.12830456528035825,0.1277643915114049
etaE,Treatment - Efficacy,Clinical,average,hyperthermia,0.11316149505881118,0.11244160533902006
etaE,Treatment - Efficacy,Clinical,young,standard,0.09032233242408182,0.08957231890722121
etaE,Treatment - Efficacy,Clinical,young,continuous,0.2850357541072087,0.283139419750702
etaE,Treatment - Efficacy,Clinical,young,adaptive,0.19663083744749385,0.1958109084101992
etaE,Treatment - Efficacy,Clinical,young,immuno_combo,0.1244317105696856,0.12390619901300359
etaE,Treatment - Efficacy,Clinical,young,hyperthermia,0.051501611718325374,0.051131828477220545
etaE,Treatment - Efficacy,Clinical,elderly,standard,0.09430628207787017,0.09345747154460471
etaE,Treatment - Efficacy,Clinical,elderly,continuous,0.3595595178662153,0.3571255976137694
etaE,Treatment - Efficacy,Clinical,elderly,adaptive,0.20715260577981404,0.20625981110527736
etaE,Treatment - Efficacy,Clinical,elderly,immuno_combo,0.21385865676505683,0.2129652607353994
etaE,Treatment - Efficacy,Clinical,elderly,hyperthermia,0.22496868567768102,0.22360496166212754
etaE,Treatment - Efficacy,Clinical,compromised,standard,0.08945875563684699,0.0885948529193566
etaE,Treatment - Efficacy,Clinical,compromised,continuous,0.1714598284478733,0.17036998876462062
etaE,Treatment - Efficacy,Clinical,compromised,adaptive,0.2319124832363726,0.23090270136800575
etaE,Treatment - Efficacy,Clinical,compromised,immuno_combo,0.05931808695797399,0.05904074990999396
etaE,Treatment - Efficacy,Clinical,compromised,hyperthermia,0.0859256755951256,0.08529443034408293
etaH,Treatment - Efficacy,Clinical,average,standard,0.10065749934343773,0.09992441452813877
etaH,Treatment - Efficacy,Clinical,average,continuous,0.0819891178697196,0.0813303619228196
etaH,Treatment - Efficacy,Clinical,average,adaptive,0.2679426868773079,0.26678579871684277
etaH,Treatment - Efficacy,Clinical,average,immuno_combo,0.1362656142211207,0.1356839875965815
etaH,Treatment - Efficacy,Clinical,average,hyperthermia,0.10178433781970499,0.10107817843348431
etaH,Treatment - Efficacy,Clinical,young,standard,0.19949885134883655,0.1982409614888384
etaH,Treatment - Efficacy,Clinical,young,continuous,0.2548954992839625,0.25333192417479644
etaH,Treatment - Efficacy,Clinical,young,adaptive,0.3290516639145901,0.3276560495574136
etaH,Treatment - Efficacy,Clinical,young,immuno_combo,0.20575198278854567,0.2048870535767806
etaH,Treatment - Efficacy,Clinical,young,hyperthermia,0.10353869432017154,0.10287895340690055
etaH,Treatment - Efficacy,Clinical,elderly,standard,0.11133604145428191,0.11039398059991876
etaH,Treatment - Efficacy,Clinical,elderly,continuous,0.3322620398561156,0.329955524890459
etaH,Treatment - Efficacy,Clinical,elderly,adaptive,0.15349622409727937,0.15284698335905794
etaH,Treatment - Efficacy,Clinical,elderly,immuno_combo,0.0758074680132695,0.07548905534480767
etaH,Treatment - Efficacy,Clinical,elderly,hyperthermia,0.09800858712207074,0.09745907629412755
etaH,Treatment - Efficacy,Clinical,compromised,standard,0.19029506742612623,0.1890815591632796
etaH,Treatment - Efficacy,Clinical,compromised,continuous,0.29553512355274975,0.29353468257792203
etaH,Treatment - Efficacy,Clinical,compromised,adaptive,0.03290332156023879,0.03276264666602568
etaH,Treatment - Efficacy,Clinical,compromised,immuno_combo,0.04709425363120977,0.04687703113867957
etaH,Treatment - Efficacy,Clinical,compromised,hyperthermia,0.06438019892908438,0.06372260482376547
etaC,Treatment - Efficacy,Clinical,average,standard,0.09663468885785353,0.0960897910178344
etaC,Treatment - Efficacy,Clinical,average,continuous,0.15336949883682796,0.15241197792770092
etaC,Treatment - Efficacy,Clinical,average,adaptive,0.31970482370668574,0.3183377897360694
etaC,Treatment - Efficacy,Clinical,average,immuno_combo,0.11569114234288144,0.1152019673079693
etaC,Treatment - Efficacy,Clinical,average,hyperthermia,0.0797212104546354,0.07913850202570935
etaC,Treatment - Efficacy,Clinical,young,standard,0.08730058164753032,0.08672462548292481
etaC,Treatment - Efficacy,Clinical,young,continuous,0.05943377395924433,0.059068264078869885
etaC,Treatment - Efficacy,Clinical,young,adaptive,0.10515997434011787,0.10469516472853443
etaC,Treatment - Efficacy,Clinical,young,immuno_combo,0.1622353739212728,0.16155838214915683
etaC,Treatment - Efficacy,Clinical,young,hyperthermia,0.09077502473283625,0.09036214243047049
etaC,Treatment - Efficacy,Clinical,elderly,standard,0.07296508429779644,0.07257244619072095
etaC,Treatment - Efficacy,Clinical,elderly,continuous,0.2387304247751656,0.2372443559084099
etaC,Treatment - Efficacy,Clinical,elderly,adaptive,0.16134382609842707,0.16069877316209427
etaC,Treatment - Efficacy,Clinical,elderly,immuno_combo,0.16807347195611985,0.16737586214176267
etaC,Treatment - Efficacy,Clinical,elderly,hyperthermia,0.08959398834470413,0.08909458196765668
etaC,Treatment - Efficacy,Clinical,compromised,standard,0.0634240420338393,0.06304300504419355
etaC,Treatment - Efficacy,Clinical,compromised,continuous,0.07312730736500829,0.0726769266533787
etaC,Treatment - Efficacy,Clinical,compromised,adaptive,0.30478187864588124,0.3034746094445201
etaC,Treatment - Efficacy,Clinical,compromised,immuno_combo,0.06290668036480558,0.06260147061044594
etaC,Treatment - Efficacy,Clinical,compromised,hyperthermia,0.07399514738353755,0.07353626428309977
immuno_resist_boost,Treatment - Resistance,Hypothetical,average,standard,0.08541358184041078,0.08491497559823792
immuno_resist_boost,Treatment - Resistance,Hypothetical,average,continuous,0.29834281199359197,0.29640791168375447
immuno_resist_boost,Treatment - Resistance,Hypothetical,average,adaptive,0.2146890760562255,0.213808366291523
immuno_resist_boost,Treatment - Resistance,Hypothetical,average,immuno_combo,0.06823474735759642,0.0679486569182442
immuno_resist_boost,Treatment - Resistance,Hypothetical,average,hyperthermia,0.17225610389455645,0.1712623576810407
immuno_resist_boost,Treatment - Resistance,Hypothetical,young,standard,0.12145773716409922,0.12081735529214965
immuno_resist_boost,Treatment - Resistance,Hypothetical,young,continuous,0.19699438050198625,0.1958080713424526
immuno_resist_boost,Treatment - Resistance,Hypothetical,young,adaptive,0.34096573660061336,0.3395321759839917
immuno_resist_boost,Treatment - Resistance,Hypothetical,young,immuno_combo,0.08636426783018405,0.08599424158331165
immuno_resist_boost,Treatment - Resistance,Hypothetical,young,hyperthermia,0.08101045658490008,0.08060662927125199
immuno_resist_boost,Treatment - Resistance,Hypothetical,elderly,standard,0.11982532444331616,0.11911820569563271
immuno_resist_boost,Treatment - Resistance,Hypothetical,elderly,continuous,0.10862436729943903,0.10795598970195605
immuno_resist_boost,Treatment - Resistance,Hypothetical,elderly,adaptive,0.38695109837045855,0.38531386249940935
immuno_resist_boost,Treatment - Resistance,Hypothetical,elderly,immuno_combo,0.05447606972404736,0.05424686309649568
immuno_resist_boost,Treatment - Resistance,Hypothetical,elderly,hyperthermia,0.03745431993260841,0.03724575313201059
immuno_resist_boost,Treatment - Resistance,Hypothetical,compromised,standard,0.0776257398588906,0.07715562207158788
immuno_resist_boost,Treatment - Resistance,Hypothetical,compromised,continuous,0.27507178163672,0.2733980654811323
immuno_resist_boost,Treatment - Resistance,Hypothetical,compromised,adaptive,0.16489311667739678,0.16420778353719104
immuno_resist_boost,Treatment - Resistance,Hypothetical,compromised,immuno_combo,0.035068706055658455,0.03490126957330352
immuno_resist_boost,Treatment - Resistance,Hypothetical,compromised,hyperthermia,0.11532184440295734,0.11465947777066375
continuous_resist_dev,Treatment - Resistance,Hypothetical,average,standard,0.056886783711167524,0.056568242168810526
continuous_resist_dev,Treatment - Resistance,Hypothetical,average,continuous,0.11878346640960574,0.1180868224517482
continuous_resist_dev,Treatment - Resistance,Hypothetical,average,adaptive,0.208704385802295,0.2078212243569485
continuous_resist_dev,Treatment - Resistance,Hypothetical,average,immuno_combo,0.09218971128038131,0.09180447296000926
continuous_resist_dev,Treatment - Resistance,Hypothetical,average,hyperthermia,0.027706867764621626,0.02753141349758321
continuous_resist_dev,Treatment - Resistance,Hypothetical,young,standard,0.04401879640764386,0.04382530812147598
continuous_resist_dev,Treatment - Resistance,Hypothetical,young,continuous,0.4292425116202003,0.4266577165561048
continuous_resist_dev,Treatment - Resistance,Hypothetical,young,adaptive,0.6184325806430088,0.6158732937167506
continuous_resist_dev,Treatment - Resistance,Hypothetical,young,immuno_combo,0.09108741524487822,0.09070773981685851
continuous_resist_dev,Treatment - Resistance,Hypothetical,young,hyperthermia,0.10258519886739473,0.10194811214519671
continuous_resist_dev,Treatment - Resistance,Hypothetical,elderly,standard,0.1420910569559106,0.1412547633114657
continuous_resist_dev,Treatment - Resistance,Hypothetical,elderly,continuous,0.2238125272790575,0.22245901443243854
continuous_resist_dev,Treatment - Resistance,Hypothetical,elderly,adaptive,0.18376797338260878,0.1829678559665353
continuous_resist_dev,Treatment - Resistance,Hypothetical,elderly,immuno_combo,0.11630665888513313,0.11581637803739497
continuous_resist_dev,Treatment - Resistance,Hypothetical,elderly,hyperthermia,0.09351949604797608,0.09295318853446954
continuous_resist_dev,Treatment - Resistance,Hypothetical,compromised,standard,0.011907378989134687,0.011852788240938855
continuous_resist_dev,Treatment - Resistance,Hypothetical,compromised,continuous,0.07251646708234043,0.0720835689858122
continuous_resist_dev,Treatment - Resistance,Hypothetical,compromised,adaptive,0.22165522020570935,0.22070780438952292
continuous_resist_dev,Treatment - Resistance,Hypothetical,compromised,immuno_combo,0.07035635028641793,0.0700244112858641
continuous_resist_dev,Treatment - Resistance,Hypothetical,compromised,hyperthermia,0.15938471084468703,0.1583715897001698
adaptive_resist_dev,Treatment - Resistance,Hypothetical,average,standard,0.09744794090430678,0.09693936230274476
adaptive_resist_dev,Treatment - Resistance,Hypothetical,average,continuous,0.10887126617427895,0.10817532838512559
adaptive_resist_dev,Treatment - Resistance,Hypothetical,average,adaptive,0.035526675980080934,0.035377947600224995
adaptive_resist_dev,Treatment - Resistance,Hypothetical,average,immuno_combo,0.06455750181929623,0.06429059676389164
adaptive_resist_dev,Treatment - Resistance,Hypothetical,average,hyperthermia,0.07817844935650757,0.07776695748538842
adaptive_resist_dev,Treatment - Resistance,Hypothetical,young,standard,0.10500333447347017,0.10446853400558531
adaptive_resist_dev,Treatment - Resistance,Hypothetical,young,continuous,0.06686048753214745,0.0664651861621016
adaptive_resist_dev,Treatment - Resistance,Hypothetical,young,adaptive,0.21857752132411168,0.2176582003475289
adaptive_resist_dev,Treatment - Resistance,Hypothetical,young,immuno_combo,0.04702921443278586,0.04683066811061715
adaptive_resist_dev,Treatment - Resistance,Hypothetical,young,hyperthermia,0.052045403905486065,0.05178343729131741
adaptive_resist_dev,Treatment - Resistance,Hypothetical,elderly,standard,0.13013945238350758,0.12937311886496172
adaptive_resist_dev,Treatment - Resistance,Hypothetical,elderly,continuous,0.12901052920463518,0.12822742178647292
adaptive_resist_dev,Treatment - Resistance,Hypothetical,elderly,adaptive,0.848332459794839,0.8447839215851349
adaptive_resist_dev,Treatment - Resistance,Hypothetical,elderly,immuno_combo,0.07616948633598718,0.0758552938455221
adaptive_resist_dev,Treatment - Resistance,Hypothetical,elderly,hyperthermia,0.033126014608314325,0.03292911013286891
adaptive_resist_dev,Treatment - Resistance,Hypothetical,compromised,standard,0.08075507327144299,0.08026263692872668
adaptive_resist_dev,Treatment - Resistance,Hypothetical,compromised,continuous,0.099854663909335,0.09923140725500011
adaptive_resist_dev,Treatment - Resistance,Hypothetical,compromised,adaptive,0.23645058359546,0.23541766984133145
adaptive_resist_dev,Treatment - Resistance,Hypothetical,compromised,immuno_combo,0.08235805917488326,0.08196602880604298
adaptive_resist_dev,Treatment - Resistance,Hypothetical,compromised,hyperthermia,0.07230497413587654,0.07187039627206694
absorption_rate,Pharmacokinetics,Clinical,average,standard,0.12411096264741746,0.12293525192164315
